,society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
545,Sidhartha NCR One Phase 1,0.43,3152,2,2,2,6.0,North,flat,sector 95,1458.6,1020.0,1,0,0,0,0,relatively new,101,1,5,510.0
546,M3M Woodshire,0.8,5856,2,2,3+,6.0,West,flat,sector 107,1508.6499999999999,1055.0,0,0,0,1,0,relatively new,144,2,16,527.5
547,ATS Triumph,2.65,8412,4,4,3+,10.0,North-East,flat,sector 104,3153.1499999999996,2205.0,0,0,1,0,0,relatively new,144,1,52,551.25
548,DLF Exclusive Floors,2.35,14242,3,3,2,1.0,North-East,flat,sector 53,2009.1499999999999,1405.0,0,0,0,0,0,,86,1,55,468.3333333333333
549,M3M Woodshire,1.29,8835,3,3,3+,1.0,East,flat,sector 107,2087.7999999999997,1460.0,0,0,0,1,0,relatively new,141,2,16,486.6666666666667
550,M3M Woodshire,1.39,5887,3,4,3+,6.0,East,flat,sector 107,2545.4,1780.0,0,0,1,1,0,relatively new,144,1,16,593.3333333333334
551,TARC Maceo,1.5,6465,3,4,3+,3.0,North-West,flat,sector 91,1894.75,1325.0,0,1,1,0,0,relatively new,88,1,25,441.6666666666667
552,TARC Maceo,1.9,6975,4,4,3,9.0,North,flat,sector 91,2726.7239999999997,1906.8,0,0,1,0,0,relatively new,96,1,25,476.7
553,The Close North,2.35,11227,3,3,3,8.0,North-East,flat,sector 50,2645.5,1850.0,0,0,0,0,0,old property,124,2,42,616.6666666666666
554,Ansal API Celebrity Suites,0.6,8163,1,1,1,5.0,North-East,flat,sector 2,735.735,514.5,1,0,0,0,0,old property,67,2,61,514.5
555,DLF Ridgewood Estate,2.0,14598,3,3,1,12.0,North-East,flat,sector 28,1371.37,958.9999999999999,1,0,0,0,0,,73,2,27,319.66666666666663
556,M3M Skywalk,1.57,11000,2,2,3+,10.0,South,flat,sector 74,1573.0,1100.0,0,0,0,0,1,relatively new,118,1,34,550.0
557,Corona Optus,1.44,7250,3,3,3+,8.0,North-West,flat,sector 37c,2845.7,1990.0,0,0,1,0,0,New Property,23,1,40,663.3333333333334
558,Corona Optus,1.26,7250,3,3,3,4.0,North-East,flat,sector 37c,1379.95,965.0,1,0,0,0,0,New Property,18,1,40,321.6666666666667
559,M3M Sierra 68,1.05,8536,2,2,2,11.0,North-East,flat,sector 68,1430.0,1000.0,1,0,0,0,0,New Property,103,2,42,500.0
560,Parsvnath Exotica,6.44,19000,4,4,3,7.0,West,flat,sector 53,3393.39,2373.0,0,0,1,0,0,old property,71,2,43,593.25
561,Pioneer Araya,7.56,18000,4,4,3+,23.0,West,flat,sector 62,4804.8,3360.0,0,0,1,1,0,relatively new,76,2,42,840.0
562,DLF Trinity Towers,3.8,15510,3,3,3+,1.0,South-East,flat,sector 53,2802.7999999999997,1960.0,0,0,1,1,0,old property,71,2,44,653.3333333333334
563,DLF Park Place,6.75,24963,4,4,2,8.0,North,flat,sector 54,2193.62,1534.0,0,0,1,0,0,old property,104,0,34,383.5
564,ATS Tourmaline,1.75,8139,3,4,3+,7.0,North-East,flat,sector 109,2152.15,1505.0,0,0,1,0,0,relatively new,136,1,44,501.6666666666667
565,Kiran Residency,1.54,8324,3,4,3+,5.0,South,flat,sector 56,2645.5,1850.0,0,0,1,0,0,,74,1,50,616.6666666666666
566,Emaar Gurgaon Greens,1.4,8484,3,3,3,4.0,North,flat,sector 102,1651.6499999999999,1155.0,0,0,1,0,0,relatively new,75,2,42,385.0
567,Shapoorji Pallonji Joyville Gurugram,0.97,10601,2,2,2,12.0,East,flat,sector 102,915.915,640.5,1,0,0,0,0,relatively new,84,1,34,320.25
568,Shapoorji Pallonji Joyville Gurugram,1.35,9933,2,2,2,9.0,North-East,flat,sector 102,1360.359,951.3,1,0,0,0,0,relatively new,93,1,34,475.65
569,Conscient Heritage Max,1.75,9011,3,4,3+,13.0,North,flat,sector 102,1943.9419999999998,1359.3999999999999,0,0,1,0,0,relatively new,85,2,50,453.13333333333327
570,Sobha City,2.45,14040,3,3,3,15.0,West,flat,sector 108,1887.6,1320.0,1,0,0,0,0,relatively new,28,1,33,440.0
571,Paras Dews,1.5,6369,4,6,3+,11.0,North-West,flat,sector 106,2006.29,1403.0,0,0,1,0,0,relatively new,141,1,52,350.75
572,La Vida by Tata Housing,2.4,10825,3,4,3+,5.0,North-East,flat,sector 113,2473.9,1730.0,0,0,1,0,0,relatively new,28,1,41,576.6666666666666
573,La Vida by Tata Housing,2.45,11050,3,3,3+,3.0,North-East,flat,sector 113,2402.4,1680.0,0,1,0,0,0,relatively new,141,1,41,560.0
574,La Vida by Tata Housing,3.0,14285,3,3,3+,3.0,East,flat,sector 113,3003.0,2100.0,0,0,1,0,0,relatively new,137,1,41,700.0
575,La Vida by Tata Housing,1.65,10449,3,2,2,3.0,North-East,flat,sector 113,1744.6,1220.0,1,0,0,0,0,relatively new,28,1,41,406.6666666666667
576,Paras Dews,0.88,6353,2,2,3+,3.0,South-East,flat,sector 106,1487.2,1040.0,1,0,0,0,0,relatively new,28,1,52,520.0
577,Paras Dews,0.88,6353,2,2,3+,1.0,South,flat,sector 106,1208.35,845.0,1,0,0,0,0,relatively new,28,1,52,422.5
578,Paras Dews,1.28,7272,3,4,3+,24.0,North-West,flat,sector 106,1615.8999999999999,1130.0,0,0,1,0,0,relatively new,28,1,52,376.6666666666667
579,Paras Dews,1.34,9550,4,5,3+,7.0,South-East,flat,sector 106,2006.29,1403.0,0,0,1,0,0,relatively new,28,1,52,350.75
580,Paras Dews,1.32,5605,4,5,3+,11.0,South-West,flat,sector 106,2006.29,1403.0,0,0,1,0,0,relatively new,28,1,52,350.75
581,Paras Dews,1.13,6406,3,4,3+,18.0,North-West,flat,sector 106,1615.8999999999999,1130.0,0,1,1,0,0,relatively new,28,1,52,376.6666666666667
582,Pareena Coban Residences,1.38,7150,4,5,3+,1.0,South-East,flat,sector 99a,2759.9,1930.0,0,0,1,0,1,relatively new,28,1,55,482.5
583,Pareena Coban Residences,1.16,5808,3,3,3,3.0,North-East,flat,sector 99a,2030.6,1420.0,0,0,1,0,1,relatively new,28,1,55,473.3333333333333
