,society,price,bedRoom,bathroom,balcony,floorNum,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
1636,Green Court,0.47,2,2,1,0.0,flat,sector 90,986.7,690.0,1,0,0,0,0,New Property,32,1,38,345.0
1637,Supertech Araville,0.95,2,2,3,7.0,flat,sector 79,1531.53,1071.0,0,1,0,0,0,New Property,28,1,5,535.5
1638,Umang Monsoon Breeze,1.15,3,3,3,9.0,flat,sector 78,2178.1759999999995,1523.1999999999998,0,0,1,0,1,old property,15,1,16,507.7333333333333
1639,Brisk Lumbini Terrace Homes,1.5,3,3,1,4.0,flat,sector 109,3241.81,2267.0,0,0,1,0,0,New Property,23,1,19,755.6666666666666
1640,Assotech Blith,1.9,4,4,3+,2.0,flat,sector 99,3243.24,2268.0,1,0,0,0,0,New Property,0,1,43,567.0
1641,Essel Towers,2.2,3,4,3+,3.0,flat,sector 43,2516.8,1760.0,1,0,0,0,0,undefined,0,1,37,586.6666666666666
1642,Essel Towers,2.2,3,4,3+,3.0,flat,sector 43,2516.8,1760.0,1,0,0,0,0,undefined,0,1,37,586.6666666666666
1643,Tulip Ivory,5.0,6,7,3+,0.0,flat,sector 70,6864.0,4800.0,0,1,1,0,0,relatively new,86,1,42,800.0
1644,Sidhivinayak Apartments,1.9,4,3,3+,9.0,flat,sector 55,2574.0,1800.0,0,0,0,1,0,old property,22,0,50,450.0
1645,Krrish Florence Estate,1.65,3,4,3+,27.0,flat,sector 70,2127.125,1487.5,0,1,1,0,0,New Property,70,1,34,495.8333333333333
1646,La Vida by Tata Housing,1.93,3,3,2,8.0,flat,sector 113,1580.579,1105.3,1,0,0,0,0,relatively new,0,1,41,368.4333333333333
1647,Trisara Our Homes 3,0.21,1,1,0,2.0,flat,sector 6 sohna,553.696,387.2000000000001,1,0,0,0,0,undefined,0,1,45,387.2000000000001
1648,Ashiana Anmol,1.1,2,2,2,4.0,flat,sector 33,1136.85,795.0,1,0,0,0,0,undefined,0,1,0,397.5
1649,Smart World Orchard,1.6,2,2,2,3.0,flat,sector 61,1644.5,1150.0,0,1,0,0,0,relatively new,27,1,51,575.0
1650,M3M Capital,3.25,4,4,3+,34.0,flat,sector 113,3286.14,2298.0,0,1,1,1,0,New Property,92,1,51,574.5
1651,Indiabulls Centrum Park,1.2,2,2,3,3.0,flat,sector 103,1424.4229999999998,996.1,1,0,0,0,0,old property,15,1,50,498.05
1652,Trisara Our Homes 3,0.38,2,2,2,1.0,flat,sector 6 sohna,688.688,481.6,1,0,0,0,0,undefined,0,1,45,240.8
1653,Smart World Orchard,2.45,3,3,3,3.0,flat,sector 61,1342.77,939.0,0,1,1,0,0,New Property,101,1,51,313.0
1654,DLF Royalton Tower,6.5,4,5,2,8.0,flat,sector 53,2942.94,2058.0,0,0,1,0,0,relatively new,11,1,0,514.5
1655,Ashok vihar phase 2,0.28,2,2,1,3.0,flat,sector 5,786.5,550.0,1,0,0,0,0,relatively new,57,1,34,275.0
1656,Valley View Estate,1.5,4,4,3+,10.0,flat,gwal pahari,2359.5,1650.0,1,0,0,0,0,old property,42,1,35,412.5
1657,Supertech Araville,0.8,2,2,2,12.0,flat,sector 79,2172.17,1519.0,0,1,0,0,0,New Property,28,1,5,759.5
1658,MRG World Ultimus,0.5,2,2,2,1.0,flat,sector 90,1023.88,716.0,1,0,0,0,0,relatively new,14,1,51,358.0
1659,Assotech Blith,0.92,2,2,3+,22.0,flat,sector 99,1366.3649999999998,955.5,1,0,0,0,0,relatively new,50,1,43,477.75
1660,Ansal Housing Highland Park,0.88,2,2,3,3.0,flat,sector 103,1362.361,952.7,1,0,0,0,0,New Property,54,1,22,476.35
1661,Mapsko Casa Bella,1.25,3,4,3+,8.0,flat,sector 82,1961.96,1372.0,1,0,0,0,0,relatively new,0,1,33,457.3333333333333
1662,ILD Grand,0.66,2,2,3+,14.0,flat,sector 37c,1498.64,1048.0,1,0,0,0,0,relatively new,0,1,34,524.0
1663,Unitech Vistas,0.53,2,2,2,9.0,flat,sector 70,1096.095,766.5,0,0,0,0,1,relatively new,24,1,18,383.25
1664,Ramprastha The Edge Towers,0.8,2,2,3,2.0,flat,sector 37d,1716.0,1200.0,1,0,0,0,0,relatively new,54,1,40,600.0
1665,Smart World Gems,1.71,3,2,0,3.0,flat,sector 89,1627.912,1138.4,1,0,0,0,0,New Property,0,1,52,379.4666666666667
1666,Sapphire Eighty Three,0.65,1,1,0,6.0,flat,sector 83,800.8,560.0,1,0,0,0,0,relatively new,0,1,14,560.0
1667,Sare Crescent Parc,0.82,3,3,3+,12.0,flat,sector 92,1742.312,1218.4,1,0,0,0,0,relatively new,0,1,0,406.1333333333334
1668,DLF The Grove,5.7,3,3,3,1.0,flat,sector 54,1581.008,1105.6,1,0,0,0,0,relatively new,0,1,42,368.53333333333336
1669,M3M Skycity,2.8,3,3,0,14.0,flat,sector 65,2091.232,1462.4,1,0,0,0,0,relatively new,0,1,43,487.4666666666667
1670,Raheja Vedaanta,1.5,3,4,0,12.0,flat,sector 108,3260.4,2280.0,1,0,0,0,0,relatively new,0,1,0,760.0
1671,Ansal Housing Highland Park,0.8,2,2,2,9.0,flat,sector 103,1859.0,1300.0,1,0,0,0,0,relatively new,0,1,0,650.0
1672,Sidhartha NCR One Phase 1,0.46,2,2,0,6.0,flat,sector 95,1132.56,792.0,1,0,0,0,0,New Property,0,1,0,396.0
1673,Ramsons Kshitij,0.3,2,2,1,11.0,flat,sector 95,789.36,552.0,1,0,0,0,0,New Property,0,1,0,276.0
1674,Sobha Smriti Apartments,0.5,1,1,2,3.0,flat,sector 56,858.0,600.0,1,0,0,0,0,undefined,0,1,50,600.0
1675,Unitech Sunbreeze,1.0,4,3,0,0.0,flat,sector 69,2088.944,1460.8000000000002,1,0,0,0,0,relatively new,0,1,0,365.2000000000001
1676,Shree Vardhman Victoria,1.8,3,4,3,2.0,flat,sector 70,1660.23,1161.0,0,0,1,0,1,New Property,26,1,37,387.0
1677,Sare Crescent Parc,0.66,3,2,2,15.0,flat,sector 92,1896.18,1326.0,1,0,0,0,0,relatively new,27,0,5,442.0
1678,Smart World Gems,0.9,2,2,2,2.0,flat,sector 89,1104.1029999999998,772.0999999999999,0,1,0,0,1,New Property,48,1,52,386.05
1679,Suncity Avenue 76,0.55,2,2,2,9.0,flat,sector 76,1059.63,741.0,1,0,0,0,0,Under Construction,16,1,34,370.5
1680,Raheja Sampada,0.7,3,3,0,7.0,flat,sector 2,1798.3680000000002,1257.6,1,0,0,0,0,relatively new,0,1,27,419.2000000000001
1681,Godrej Air,2.6,3,3,3,17.0,flat,sector 85,2435.576,1703.2,0,0,1,0,0,relatively new,0,1,41,567.7333333333333
1682,Sare Crescent Parc Royal Greens Phase 1,0.75,4,4,3+,3.0,flat,sector 92,1983.696,1387.2,1,0,0,0,0,relatively new,76,1,12,346.8
1683,ILD Grand Centra,0.95,3,1,0,0.0,flat,sector 37c,2082.08,1456.0,1,0,0,0,0,relatively new,0,1,0,485.3333333333333
1684,Signature Global City 81,0.8,2,2,2,4.0,flat,sector 81,780.78,546.0,0,1,0,0,0,relatively new,20,1,18,273.0
1685,Godrej Habitat,1.2,2,2,3,0.0,flat,sector 3,1445.444,1010.8,1,0,0,0,0,relatively new,0,1,52,505.4
1686,Ramsons Kshitij,0.45,2,2,1,2.0,flat,sector 95,980.98,686.0,0,1,0,0,0,relatively new,75,1,0,343.0
1687,Breez Global Heights,0.26,1,1,1,6.0,flat,sohna,563.42,394.0,1,0,0,0,0,New Property,16,1,42,394.0
1688,Parsvnath Green Ville,2.0,3,3,0,15.0,flat,sector 48,2127.125,1487.5,0,0,1,0,0,relatively new,59,1,40,495.8333333333333
1689,Shri Ram Apartments,0.46,2,2,1,1.0,flat,sector 3a,1287.0,900.0,1,0,0,0,0,relatively new,47,2,34,450.0
1690,Sare Homes,0.8,4,4,3,1.0,flat,sector 92,2436.72,1704.0,1,0,0,0,0,old property,65,1,5,426.0
1691,Silverglades The Melia,0.78,2,2,3,9.0,flat,sohna,1351.3499999999997,945.0,0,1,0,0,0,Under Construction,74,1,27,472.5
1692,Sare Crescent Parc Royal Greens Phase 1,0.65,3,3,3,1.0,flat,sector 92,1441.4399999999998,1008.0,1,0,0,0,0,old property,77,1,5,335.99999999999994
1693,Pareena Mi Casa,1.1,2,2,3,11.0,flat,sector 68,1246.245,871.5,1,0,0,0,0,New Property,76,1,52,435.75
1694,Godrej Nature Plus,1.08,2,2,3,8.0,flat,sector-33 sohna,1169.72284,817.9879999999999,1,0,0,0,0,relatively new,0,1,41,408.994
1695,ATS Tourmaline,1.75,3,3,3,4.0,flat,sector 109,2087.8,1460.0,1,0,0,0,0,New Property,37,1,44,486.6666666666667
1696,Signature Global Park,0.54,2,2,2,4.0,flat,sohna,1072.5,750.0,1,0,0,0,0,Under Construction,101,1,42,375.0
1697,Chintels Paradiso,2.0,4,4,2,11.0,flat,sector 109,2632.63,1841.0,0,0,1,1,0,relatively new,62,1,25,460.25
1698,Conscient Heritage Max,3.0,4,4,3+,7.0,flat,sector 102,4089.8,2860.0,0,0,0,0,1,relatively new,57,2,50,715.0
1699,MVN Athens,0.21,1,1,1,11.0,flat,sohna,643.5,450.0,1,0,0,0,0,New Property,13,1,6,450.0
1700,AWHO Shanti Vihar,0.82,2,2,3+,13.0,flat,sector 95,1186.9,830.0,0,1,0,0,0,New Property,94,1,12,415.0
1701,Pareena Mi Casa,0.92,2,2,3,5.0,flat,sector 68,1246.245,871.5,0,0,0,0,1,Under Construction,51,1,52,435.75
1702,Deepak Minda,1.25,3,3,3+,6.0,flat,manesar,3789.5,2650.0,0,0,1,0,0,old property,27,1,14,883.3333333333334
1703,Pivotal Riddhi Siddhi,0.5,2,1,2,7.0,flat,sector 99,839.41,587.0,1,0,0,0,0,New Property,16,1,35,293.5
1704,Sare Homes,0.95,4,3,3,13.0,flat,sector 92,1951.95,1365.0,1,0,0,0,0,New Property,0,1,5,341.25
1705,City Shri Ram Apartments 1,0.22,2,1,1,1.0,flat,sector 110,600.6,420.0,1,0,0,0,0,relatively new,0,1,53,210.0
1706,Maruti Kunj,0.8,3,2,0,0.0,flat,sector 11,1551.55,1085.0,1,0,0,0,0,undefined,5,1,0,361.6666666666667
1707,Palam Vihar Extension West Zone RWA,0.2,1,1,1,1.0,flat,sector 2,715.0,500.0,0,0,0,0,1,old property,0,1,61,500.0
1708,Sare Crescent Parc,0.9,4,5,3+,14.0,flat,sector 92,1871.87,1309.0,0,0,1,0,1,relatively new,45,1,5,327.25
1709,GLS Arawali Homes,0.3,2,2,2,10.0,flat,sohna,667.81,467.0,1,0,0,0,0,relatively new,43,1,7,233.5
1710,Ambience Creacions,2.79,3,3,3,13.0,flat,sector 22,1859.0,1300.0,1,0,0,0,0,New Property,126,2,49,433.3333333333333
1711,Breez Global Heights,0.39,2,2,2,3.0,flat,sohna,872.3,610.0,1,0,0,0,0,relatively new,0,1,42,305.0
1712,Vidya Apartment,0.22,2,2,1,1.0,flat,sector 5,786.5,550.0,0,0,0,0,1,relatively new,23,0,43,275.0
1713,takshila heights sector 37 c,0.67,2,2,2,3.0,flat,sector 37c,1201.2,840.0,1,0,0,0,0,relatively new,32,1,14,420.0
1714,saroop garden,0.95,2,2,1,1.0,flat,sector 9,5148.0,3600.0,0,0,0,0,1,New Property,0,1,32,1800.0
1715,M3M Skycity,2.0,2,2,2,16.0,flat,sector 65,1311.3099999999995,917.0,1,0,0,0,0,New Property,141,2,43,458.5
1716,CHD Avenue 71,1.15,3,3,2,15.0,flat,sector 71,1914.77,1339.0,0,0,1,0,0,old property,42,1,30,446.3333333333333
1717,Bestech Park View Residency,0.55,1,1,2,7.0,flat,sector 3,650.6499999999999,455.0,1,0,0,0,0,old property,37,1,51,455.0
1718,Smart World Orchard,1.5,2,2,2,2.0,flat,sector 61,1716.0,1200.0,0,1,0,0,0,Under Construction,28,1,51,600.0
1719,Ramprastha Primera,1.02,3,2,3,22.0,flat,sector 37d,1701.6999999999998,1190.0,1,0,0,0,0,Under Construction,52,1,33,396.6666666666667
1720,Signature Global Park 4,0.72,3,2,3,2.0,flat,sector 36 sohna,1601.6,1120.0,1,0,0,0,0,undefined,0,1,52,373.3333333333333
1721,Sanskriti Apartment,1.1,3,3,3,2.0,flat,sector 10a,2359.5,1650.0,1,0,0,0,0,old property,14,1,21,550.0
1722,Shapoorji Pallonji Joyville Gurugram,1.35,2,2,2,10.0,flat,sector 102,915.915,640.5,1,0,0,0,0,relatively new,15,1,34,320.25
1723,AVL 36 Gurgaon,0.36,1,1,1,7.0,flat,sector 36a,574.86,402.0,1,0,0,0,0,relatively new,84,1,14,402.0
1724,BPTP Pedestal,1.9,4,3,3,2.0,flat,sector 70a,2717.0,1900.0,0,0,0,0,0,New Property,107,1,32,475.0
1725,Vipul Lavanya,0.64,2,2,3,12.0,flat,sector 81,1751.75,1225.0,1,0,0,0,0,relatively new,80,2,5,612.5
1726,SS The Leaf,2.7,4,4,3+,23.0,flat,sector 85,3485.4819999999995,2437.4,1,0,0,0,0,New Property,15,1,42,609.3499999999999
1727,Suposhaa Smartworld Orchard,2.17,3,3,3,1.0,flat,sector 61,2215.07,1549.0,1,0,0,0,0,Under Construction,0,1,50,516.3333333333334
1728,Smart World Orchard,1.7,2,2,2,4.0,flat,sector 61,1601.6,1120.0,0,1,0,0,0,Under Construction,110,1,51,560.0
1729,smart world one,1.65,3,4,3,6.0,flat,dwarka expressway,3982.55,2785.0,1,0,0,0,0,Under Construction,0,1,16,928.3333333333334
1730,ramshanti cooperative society,1.76,4,4,3+,12.0,flat,sector 52,2432.43,1701.0,1,0,0,0,0,New Property,0,1,32,425.25
1731,SS Radiance Residency,0.6,3,3,2,3.0,flat,sector 12,1515.8,1060.0,1,0,0,0,0,relatively new,27,1,32,353.3333333333333
1732,Silverglades The Melia,0.91,2,2,3,1.0,flat,sohna,1351.3499999999997,945.0,0,1,0,0,0,New Property,74,1,27,472.5
1733,rk tower,0.95,2,2,1,1.0,flat,sector 2,1415.7,990.0,1,0,0,0,0,relatively new,66,1,61,495.0
1734,Breez Global Hill View,0.3,2,2,1,11.0,flat,sohna,836.55,585.0,1,0,0,0,0,New Property,67,1,44,292.5
1735,AVL 36 Gurgaon,0.37,1,1,1,3.0,flat,sector 36a,352.352,246.4,1,0,0,0,0,relatively new,73,2,14,246.4
1736,Emaar Mgf Emerald Floors,2.6,3,3,3+,3.0,flat,sector 65,2359.5,1650.0,1,0,0,0,0,relatively new,0,1,35,550.0
1737,Smart World Orchard,1.57,2,2,2,3.0,flat,sector 61,1315.6,920.0,0,1,0,0,1,New Property,63,1,51,460.0
1738,Tulip Monsella,7.4,4,4,3,21.0,flat,sector 53,3187.47,2229.0,1,0,0,0,0,undefined,41,1,37,557.25
1739,My Home,0.22,2,2,1,1.0,flat,sector 110,715.0,500.0,1,0,0,0,0,New Property,0,1,44,250.0
1740,M3M Heights,1.95,2,2,3,16.0,flat,sector 65,1262.2609999999995,882.6999999999999,1,0,0,0,0,Under Construction,27,1,52,441.35
1741,Smriti Apartment,0.6,1,1,1,2.0,flat,sector 56,600.6,420.0,1,0,0,0,0,old property,31,1,50,420.0
1742,Uphaar Homes,0.45,3,2,1,1.0,flat,sector 105,1358.5,950.0,1,0,0,0,0,relatively new,28,2,34,316.6666666666667
1743,Pareena Laxmi Apartments,0.3,2,1,2,5.0,flat,sector 99a,672.1,470.0,1,0,0,0,0,New Property,53,1,39,235.0
1744,Smart World Gems,1.3,3,3,2,2.0,flat,sector 89,2034.89,1423.0,0,1,0,0,0,New Property,27,1,52,474.3333333333333
1745,Unitech The Palms,2.75,3,3,2,14.0,flat,sector 41,1641.64,1148.0,1,0,0,0,0,undefined,69,0,47,382.6666666666667
1746,Smart World Orchard,1.7,2,2,2,4.0,flat,sector 61,1644.5,1150.0,1,0,0,0,0,Under Construction,39,1,51,575.0
1747,Godrej Icon,1.75,3,3,3+,6.0,flat,sector 88a,2009.392305555556,1405.1694444444445,1,0,0,0,0,New Property,0,1,36,468.3898148148148
1748,Vatika Independent Floors,0.67,2,2,3,2.0,flat,sector 82,1315.6,920.0,1,0,0,0,0,old property,56,1,27,460.0
1749,Corona Gracieux,1.08,3,3,3,1.0,flat,sector 76,1961.96,1372.0,0,0,1,0,0,New Property,60,1,18,457.3333333333333
1750,Lotus Elise,0.95,2,3,3,7.0,flat,sector 99,2073.5,1450.0,0,0,1,0,0,relatively new,0,1,34,725.0
1751,NUL,0.56,2,2,1,11.0,flat,gwal pahari,1322.75,925.0,1,0,0,0,0,New Property,0,1,35,462.5
1752,Godrej Habitat,1.25,2,2,3,14.0,flat,sector 3,1305.59,913.0,1,0,0,0,0,old property,41,1,52,456.5
1753,Pareena Laxmi Apartments,0.32,2,2,2,11.0,flat,sector 99a,647.79,453.0,1,0,0,0,0,New Property,53,1,39,226.5
1754,Conscient Elevate,3.78,3,3,3,3.0,flat,sector 59,3281.85,2295.0,1,0,0,0,0,undefined,40,1,59,765.0
1755,Godrej Nature Plus,1.62,3,4,3+,3.0,flat,sector-33 sohna,1646.84663,1151.641,0,0,1,0,0,New Property,84,1,41,383.8803333333333
1756,Shri Ram Apartments,0.36,2,2,1,4.0,flat,sector 3a,1358.5,950.0,1,0,0,0,0,relatively new,2,1,34,475.0
1757,signature global rosellia,0.45,2,2,2,14.0,flat,sector 95a,735.02,514.0,1,0,0,0,0,New Property,16,1,0,257.0
1758,Raheja Revanta,0.99,2,2,3,14.0,flat,sector 78,1622.6209999999996,1134.6999999999998,0,0,0,0,1,Under Construction,42,1,33,567.3499999999999
1759,ROF Ananda,0.46,2,2,2,11.0,flat,sector 95,1041.04,728.0,0,1,0,0,0,New Property,68,1,24,364.0
1760,Smart World Gems,1.13,3,3,2,4.0,flat,sector 89,1896.18,1326.0,0,1,0,0,0,relatively new,96,1,52,442.0
1761,Emaar Palm Heights,2.1,3,3,3,17.0,flat,sector 77,2027.025,1417.5,0,1,1,0,0,New Property,7,1,18,472.5
1762,GLS Arawali Homes,0.28,2,2,2,3.0,flat,sohna,667.81,467.0,1,0,0,0,0,relatively new,24,1,7,233.5
1763,Vatika The Seven Lamps,1.0,2,2,2,14.0,flat,sector 82,1436.4349999999995,1004.5,0,1,0,0,1,relatively new,65,1,42,502.25
1764,Adani Aangan Arcade,0.45,2,2,1,3.0,flat,sector 88a,893.75,625.0,1,0,0,0,0,New Property,11,1,34,312.5
1765,Godrej Summit,1.3,3,3,3,8.0,flat,sector 104,1648.6469999999997,1152.9,0,0,0,0,1,New Property,64,1,51,384.3
1766,Bhemerlei,0.69,2,2,2,3.0,flat,sohna road,1544.4,1080.0,1,0,0,0,0,Under Construction,0,1,46,540.0
1767,Valley View Estate,0.38,1,1,1,11.0,flat,gwal pahari,624.6239999999999,436.8,1,0,0,0,0,old property,24,1,35,436.8
1768,Ramprastha Skyz,1.0,3,5,3,11.0,flat,sector 37d,2027.025,1417.5,0,0,1,0,1,Under Construction,6,1,21,472.5
1769,Earth Copia,0.7,2,2,2,4.0,flat,sector 112,1713.712,1198.4,1,0,0,0,0,relatively new,57,1,44,599.2
1770,HCBS Sports Ville,0.27,2,2,2,10.0,flat,sohna,708.1360000000001,495.2000000000001,1,0,0,0,0,relatively new,38,1,0,247.6
1771,Greenopolis,0.8,2,2,2,6.0,flat,sector 89,1854.71,1297.0,1,0,0,0,0,Under Construction,27,1,12,648.5
1772,Vipul Belmonte,6.5,3,4,3+,0.0,flat,sector 53,2967.965,2075.5,0,1,0,0,1,undefined,68,1,52,691.8333333333334
1773,Green Court,0.38,2,2,1,7.0,flat,New Gurgaon,986.7,690.0,1,0,0,0,0,Under Construction,22,1,24,345.0
1774,Smart World Orchard,1.9,3,3,3,1.0,flat,sector 61,1196.91,837.0,1,0,0,0,0,New Property,20,1,59,279.0
1775,GLS Arawali Homes,0.26,2,2,2,5.0,flat,sohna,576.5759999999999,403.2,1,0,0,0,0,New Property,43,1,7,201.6
1776,ROF Ananda,0.26,1,1,1,8.0,flat,sector 95,543.4,380.0,1,0,0,0,0,New Property,28,1,24,380.0
1777,Ramprastha The Atrium,1.0,3,3,2,4.0,flat,sector 37d,1286.285,899.4999999999999,1,0,0,0,0,relatively new,8,1,16,299.8333333333333
1778,Tulsiani Easy in Homes,0.4,2,2,3,9.0,flat,sohna,722.15,505.0,1,0,0,0,0,Under Construction,38,1,25,252.5
1779,Ansal Harmony Homes,1.12,2,2,1,0.0,flat,sector 57,1051.05,735.0,1,0,0,0,0,old property,64,1,42,367.5
1780,Mittal Cosmos Executive Apartments,0.75,2,2,2,15.0,flat,sector 2,1146.145,801.5,1,0,0,0,0,relatively new,24,1,28,400.75
1781,GLS Arawali Homes,0.35,2,2,2,11.0,flat,sohna,686.4,480.0,1,0,0,0,0,relatively new,57,1,7,240.0
1782,Umang Monsoon Breeze,0.95,3,3,2,9.0,flat,sector 78,1979.12,1384.0,1,0,0,0,0,relatively new,57,2,16,461.3333333333333
1783,Apna Enclave,0.8,3,3,1,0.0,flat,sector 3,1301.2999999999995,910.0,1,0,0,0,0,old property,0,1,34,303.3333333333333
1784,Godrej Nature Plus,1.5,3,3,3,6.0,flat,sector-33 sohna,1551.55,1085.0,0,1,0,0,0,Under Construction,62,1,41,361.6666666666667
1785,Sare Crescent Parc,1.0,4,3,2,1.0,flat,sector 92,2788.5,1950.0,1,0,0,0,0,relatively new,28,1,5,487.5
1786,Ireo The Corridors,2.0,3,3,2,6.0,flat,sector 67a,1454.31,1017.0,0,0,0,0,1,Under Construction,11,1,43,339.0
1787,MVN Athens,0.25,2,2,1,3.0,flat,sohna,687.8299999999999,481.0,1,0,0,0,0,relatively new,48,1,6,240.5
1788,Prime Habitat,0.32,2,2,1,7.0,flat,sector 99a,640.64,448.0,1,0,0,0,0,relatively new,31,1,41,224.0
1789,Sidhartha NCR Greens,0.6,2,2,2,14.0,flat,sector 95,1077.0759999999998,753.1999999999999,0,1,0,0,0,relatively new,36,1,5,376.6
1790,Hero Homes,1.2,2,2,2,22.0,flat,sector 104,976.69,683.0,1,0,0,0,0,relatively new,36,1,42,341.5
1791,Jammu and Kashmir Bank Employees CGHS,0.94,3,3,2,5.0,flat,sector 9a,2216.5,1550.0,1,0,0,0,0,old property,61,2,39,516.6666666666666
1792,Ramprasta AWHO,0.92,3,3,3+,13.0,flat,sector 95,2288.0,1600.0,1,0,0,0,0,New Property,0,1,0,533.3333333333334
1793,Pareena Coban Residences,1.35,3,5,3,6.0,flat,sector 99a,1998.997,1397.9,0,0,1,0,1,New Property,60,1,55,465.9666666666666
1794,DLF Express Greens,1.2,3,4,2,5.0,flat,manesar,1846.845,1291.5,0,0,1,0,1,relatively new,51,1,14,430.5
1795,Aditya Apartment,1.0,3,4,0,3.0,flat,manesar,2837.12,1984.0,1,0,0,0,0,New Property,0,1,9,661.3333333333334
1796,Paras Dews,1.4,3,4,3+,12.0,flat,sector 106,1761.76,1232.0,0,1,1,0,1,Under Construction,0,1,25,410.6666666666667
1797,Sare Crescent Parc,0.65,3,3,3,3.0,flat,sector 92,2022.02,1414.0,1,0,0,0,0,old property,27,1,5,471.3333333333333
1798,Raheja Vedaanta,1.25,3,2,0,0.0,flat,sector 108,2202.2,1540.0,1,0,0,0,0,relatively new,64,2,0,513.3333333333334
1799,Shri Balaji Apartment,0.35,2,2,1,1.0,flat,sector 12,929.5,650.0,1,0,0,0,0,old property,13,1,61,325.0
1800,Krrish Florence Estate,1.3,3,3,3,17.0,flat,sector 70,2133.56,1492.0,1,0,0,0,0,Under Construction,0,2,34,497.3333333333333
1801,Ansal Housing Highland Park,2.0,4,5,3+,14.0,flat,sector 103,2672.67,1869.0,0,0,1,0,0,New Property,54,1,22,467.25
1802,DLF Express Greens,1.5,4,5,3+,10.0,flat,manesar,2361.359,1651.3,0,0,1,0,0,New Property,37,1,14,412.825
1803,Pareena Mi Casa,1.9,3,3,3+,1.0,flat,sector 68,2944.37,2059.0,0,0,1,0,0,Under Construction,28,1,52,686.3333333333334
1804,Ramsons Kshitij,0.22,1,1,1,2.0,flat,sector 95,340.3399999999999,238.0,1,0,0,0,0,New Property,0,1,0,238.0
1805,ANSALS DUPLEX FLAT,0.95,2,3,2,1.0,flat,sector 2,1859.0,1300.0,0,1,0,0,0,relatively new,9,2,61,650.0
1806,HCBS Sports Ville,0.32,2,2,2,2.0,flat,sohna,742.17,519.0,1,0,0,0,0,New Property,34,1,0,259.5
1807,Smriti Apartment,0.45,1,1,2,3.0,flat,sector 56,600.6,420.0,1,0,0,0,0,undefined,39,1,50,420.0
1808,Pareena Mi Casa,1.85,3,3,3+,13.0,flat,sector 68,1988.987,1390.9,1,0,0,0,0,Under Construction,0,1,52,463.63333333333327
1809,Sidhartha NCR Greens,0.96,3,3,3,8.0,flat,sector 95,2213.64,1548.0,0,0,0,1,0,New Property,10,1,5,516.0
1810,Godrej Summit,1.2,3,2,3+,16.0,flat,sector 104,2067.78,1446.0,0,1,0,1,0,relatively new,116,2,51,482.0
1811,Sare Crescent Parc,0.5,2,2,2,2.0,flat,sector 92,1001.0,700.0,0,0,0,0,1,relatively new,67,1,5,350.0
1812,Sare Crescent Parc,0.92,4,5,3+,14.0,flat,sector 92,2288.0,1600.0,1,0,0,0,0,old property,103,2,5,400.0
1813,Green Court,0.5,2,2,1,8.0,flat,sector 90,858.0,600.0,1,0,0,0,0,New Property,24,1,38,300.0
1814,Supertech Araville,0.78,2,2,3+,17.0,flat,sector 79,1296.2949999999998,906.5,1,0,0,0,0,relatively new,36,1,5,453.25
1815,Signature Global Synera,0.5,2,2,1,11.0,flat,sector 81,906.62,634.0,1,0,0,0,0,New Property,74,0,34,317.0
1816,Prime Habitat,0.27,2,2,1,4.0,flat,sector 99a,710.7099999999999,497.0,1,0,0,0,0,New Property,4,1,41,248.5
1817,Sare Homes,0.85,4,4,3,3.0,flat,sector 92,1777.7759999999996,1243.1999999999998,1,0,0,0,0,old property,0,1,25,310.79999999999995
1818,Millenia,0.4,2,2,2,4.0,flat,sector 37c,858.0,600.0,1,0,0,0,0,New Property,25,1,32,300.0
1819,Sidhartha NCR One Phase 1,0.9,3,3,1,15.0,flat,sector 95,2288.0,1600.0,1,0,0,0,0,relatively new,63,1,5,533.3333333333334
1820,Signature Andour Heights,0.39,1,1,2,1.0,flat,sector 71,325.32499999999993,227.5,1,0,0,0,0,New Property,0,1,27,227.5
1821,M3M skywalk,1.5,2,2,1,8.0,flat,sector 74,2002.0,1400.0,1,0,0,0,0,New Property,20,1,28,700.0
1822,Puri Emerald Bay,1.8,2,3,3,23.0,flat,sector 104,1701.6999999999998,1190.0,0,0,1,0,0,New Property,38,1,59,595.0
1823,Ansal Estella,1.5,3,3,3+,6.0,flat,sector 103,2466.75,1725.0,1,0,0,0,0,Under Construction,51,1,22,575.0
1824,Chanderlok Society,0.9,4,2,3+,1.0,flat,sector 28,1778.9199999999998,1244.0,1,0,0,0,0,undefined,0,1,34,311.0
1825,Jammu and Kashmir Bank Employees CGHS,0.95,3,3,2,5.0,flat,sector 9a,1551.55,1085.0,0,0,0,0,1,old property,20,1,39,361.6666666666667
1826,ILD Greens,1.0,3,3,3,3.0,flat,sector 37c,1801.8,1260.0,1,0,0,0,0,Under Construction,0,1,49,420.0
1827,ss residency,0.53,3,3,2,2.0,flat,sector 12,1101.1,770.0,1,0,0,0,0,relatively new,9,2,32,256.6666666666667
1828,Uphar lakshya homes,0.42,3,2,1,1.0,flat,sector 9,1430.0,1000.0,1,0,0,0,0,relatively new,6,1,34,333.3333333333333
1829,Umang Monsoon Breeze,1.2,3,3,2,8.0,flat,sector 78,2642.64,1848.0,0,0,0,1,0,old property,9,0,16,616.0
